Tipo_evento,Mkey,Fecha_evento,Ciudad,Estado,Pais,N#,Grabaion_seguridad,Modo,Tipo_reporte,FrchaPublicacionOriginal,Nivel_lesiones,Lesiones_fatales,Lesiones_graves,Lesiones_menores,Cuasa_probable,Recomendacion
ACC,27917,1993-01-31 22:30:00+00:00,COLUMBIA,California,United States,N16SC,False,Aviation,DirectorBrief,1993-11-15 05:00:00+00:00,None,0,0,0,THE PILOT'S FAILURE TO MAINTAIN A PROPER GLIDEPATH WHILE ON SHORT FINAL APPROACH. A FACTOR IN THE ACCIDENT WAS THE DARK NIGHT LIGHTING CONDITIONS WHICH MAY HAVE AFFECTED THE PILOT'S PERCEPTUAL AWARENESS OF THE AIRPORT ENVIRONMENT AND THE CUES FOR A PROPER VISUAL APPROACH SLOPE GUIDANCE.,
ACC,15659,1993-01-31 19:00:00+00:00,WARREN,Minnesota,United States,N3571V,False,Aviation,DirectorBrief,1993-10-25 04:00:00+00:00,None,0,0,0,THE PILOT'S INADEQUATE COMPENSATION FOR VARIABLE WIND CONDITIONS DURING LANDING. THE CROSSWIND WAS A FACTOR.,
ACC,11897,1993-01-31 12:58:00+00:00,LANHAM,Maryland,United States,N1383R,False,Aviation,DirectorBrief,1993-10-13 04:00:00+00:00,Serious,0,1,0,THE BLOCKAGE OF THE RIGHT AND LEFT FUEL VENT LINE WHICH PREVENTED THE FLOW OF FUEL TO THE ENGINE CAUSING TOTAL POWER LOSS.,
ACC,42981,1993-01-31 11:45:00+00:00,BEND,Oregon,United States,N56843,False,Aviation,DirectorBrief,1993-10-13 04:00:00+00:00,None,0,0,0,DIRECTIONAL CONTROL NOT MAINTAINED AND GROUND LOOP/SWERVE NOT CORRECTED BY THE PILOT IN COMMAND.,
ACC,18692,1993-01-31 11:30:00+00:00,LANCASTER,Texas,United States,N4312C,False,Aviation,DirectorBrief,1993-10-25 04:00:00+00:00,None,0,0,0,"AIRCRAFT CONTROL NOT MAINTAINED BY PILOT. TURBULENCE DUE TO STRONG, GUSTY WINDS WAS A FACTOR",
ACC,18272,1993-01-31 09:45:00+00:00,DURANGO,Colorado,United States,N3581T,False,Aviation,DirectorBrief,1993-10-13 04:00:00+00:00,None,0,0,0,PARTIAL FAILURE OF THE BALLOON'S BURNER FOR UNDETERMINED REASONS.  A FACTOR WAS:  UNFAVORABLE WIND.,
ACC,27916,1993-01-30 22:25:00+00:00,DOUGLAS,Arizona,United States,N3980Y,False,Aviation,DirectorBrief,1993-11-15 05:00:00+00:00,None,0,0,0,THE PILOT'S SELECTION OF THE WRONG RUNWAY BASED ON INACCURATE WIND INFORMATION.,
ACC,15657,1993-01-30 16:30:00+00:00,SLAYTON,Minnesota,United States,N2440U,False,Aviation,DirectorBrief,1993-10-25 04:00:00+00:00,None,0,0,0,THE PILOT'S INADEQUATE COMPENSATION FOR THE CROSSWIND CONDITION. THE CROSSWIND WAS A FACTOR.,
ACC,37292,1993-01-30 15:37:00+00:00,HAGERSTOWN,Maryland,United States,N5725G,False,Aviation,DirectorBrief,1993-10-13 04:00:00+00:00,Minor,0,0,2,"THE FAILURE OF THE FLIGHT INSTRUCTOR TO ADEQUATELY SUPERVISE THE STUDENT PILOT, AND TAKE CONTROL OF THE AIRPLANE IN A TIMELY MANNER WHICH RESULTED IN THE AIRPLANE DEPARTING THE RUNWAY AND STRIKING A TOWER.  FACTORS RELATED TO THE ACCIDENT WERE THE IMPROPER USE OF THE FLIGHT CONTROLS BY THE STUDENT PILOT AND THE CROSS WIND.",
ACC,42982,1993-01-30 11:15:00+00:00,INGLEWOOD,Washington,United States,N5391R,False,Aviation,DirectorBrief,1993-10-13 04:00:00+00:00,None,0,0,0,"FUEL EXHAUSTION, THE PILOT IN COMMAND'S INADEQUATE PREFLIGHT, AND HIS FAILURE TO FLARE ON LANDING. A FACTOR CONTRIBUTING TO THE ACCIDENT WAS FOG.",
ACC,15660,1993-01-30 09:10:00+00:00,BARRINGTON,Illinois,United States,N29515,False,Aviation,DirectorBrief,1993-11-03 05:00:00+00:00,None,0,0,0,LOSS OF ENGINE POWER DUE TO FUEL CONTAMINATION.,
ACC,28432,1993-01-30 07:45:00+00:00,CHANDLER,Arizona,United States,N128TC,False,Aviation,DirectorBrief,1994-09-26 04:00:00+00:00,Serious,0,1,0,The pilot's failure to adequately evaluate the weather conditions and subsequent uncontrolled touchdown resulting in a hard landing.  Gusty wind conditions were a factor in the accident.,
ACC,18691,1993-01-29 19:40:00+00:00,MARFA,Texas,United States,N363N,False,Aviation,DirectorBrief,1993-10-25 04:00:00+00:00,None,0,0,0,"THE PILOT'S CONTINUED DESCENT BELOW THE PROPER ALTITUDE. FACTORS WERE THE DARK NIGHT, FOG, AND THE CREW'S POOR COORDINATION.",
