"Año";"Periodo";"Víctimas mortales"
"1942";"Año";"324"
"1943";"Año";"303"
"1944";"Año";"333"
"1945";"Año";"324"
"1946";"Año";"842"
"1947";"Año";"1.083"
"1948";"Año";"1.303"
"1949";"Año";"1.107"
"1950";"Año";"1.118"
"1951";"Año";"948"
"1952";"Año";"781"
"1953";"Año";"972"
"1954";"Año";"702"
"1955";"Año";"624"
"1956";"Año";"850"
"1957";"Año";"976"
"1958";"Año";"1.232"
"1959";"Año";"1.075"
"1960";"Año";"1.481"
"1961";"Año";"1.345"
"1962";"Año";"1.770"
"1963";"Año";"1.263"
"1964";"Año";"1.016"
"1965";"Año";"1.159"
"1966";"Año";"1.468"
"1967";"Año";"1.335"
"1968";"Año";"1.389"
"1969";"Año";"1.676"
"1970";"Año";"1.474"
"1971";"Año";"1.445"
"1972";"Año";"2.380"
"1973";"Año";"2.031"
"1974";"Año";"1.999"
"1975";"Año";"1.193"
"1976";"Año";"1.627"
"1977";"Año";"1.652"
"1978";"Año";"1.263"
"1979";"Año";"1.775"
"1980";"Año";"1.300"
"1981";"Año";"906"
"1982";"Año";"1.175"
"1983";"Año";"862"
"1984";"Año";"683"
"1985";"Año";"2.010"
"1986";"Año";"814"
"1987";"Año";"1.111"
"1988";"Año";"1.147"
"1989";"Año";"1.547"
"1990";"Año";"710"
"1991";"Año";"1.151"
"1992";"Año";"1.546"
"1993";"Año";"1.134"
"1994";"Año";"1.454"
"1995";"Año";"1.207"
"1996";"Año";"1.844"
"1997";"Año";"1.164"
"1998";"Año";"1.194"
"1999";"Año";"478"
"2000";"Año";"1.148"
"2001";"Año";"879"
"2002";"Año";"1.000"
"2003";"Año";"705"
"2004";"Año";"462"
"2005";"Año";"1.075"
"2006";"Año";"905"
"2007";"Año";"773"
"2008";"Año";"595"
"2009";"Año";"763"
"2010";"Año";"943"
"2011";"Año";"525"
"2012";"Año";"477"
"2013";"Año";"232"
"2014";"Año";"692"
"2015";"Año";"186"
"2016";"Año";"258"
"2017";"Año";"59"
"2018";"Año";"366"
;;
;;
"Métrica":"Víctimas mortales"
"Fuente":"Aviation Safety Network"
"Clasificación":""
"Unidad":"Víctimas mortales"
"Escala":"Unidades"
"EscalaFactorPotencia10":"0"
"SonDatosNumericos":"True"
;;
;;
"Url":"https://www.epdata.es/muertos-accidente-avion-1942/06f6372b-bf12-4cec-ac94-d0623e9becf3"
"Titulo":"Muertos en accidente de avión desde 1942"
"Subtitulo":""
